time_space,trajectory
0.0,(0.9999999999999208+8.809445744244058e-31j)
0.01,(0.8490589293362643+0.4589619355520663j)
0.02,(0.8195198346605599+0.02793082772773047j)
0.03,(0.7443722760679897-0.09165848983258004j)
0.04,(0.6946952874140915+0.2212941210293989j)
0.05,(0.6368203849063776+0.007151124444912115j)
0.06,(0.7796511259209258-0.19364940505667355j)
0.07,(0.7006628238646451+0.061090970191964244j)
0.08,(0.7030615645370906+0.09944520129694592j)
0.09,(0.8840480760841676-0.3665534981032198j)
0.1,(0.6835696110873128-0.11725761250813468j)
0.11,(1.1026309893547406+0.19444823709100842j)
0.12,(0.9691096160074983+0.06133723441478121j)
0.13,(0.7193283561177061+0.040577515771053396j)
0.14,(0.7391238077719547+0.15227345050602623j)
0.15,(0.7121379704268621+0.08221405703229336j)
0.16,(0.6963907197040622-0.0411249832938239j)
0.17,(0.5666515043577838+0.08538275080753023j)
0.18,(0.6954185673220759+0.06218009172300678j)
0.19,(0.8934180865306903-0.1054767617539294j)
0.2,(0.466944919444636-0.047976874518067175j)
0.21,(0.9056720476949719+0.15928230680361904j)
0.22,(0.8289392031858199-0.14301228584319947j)
0.23,(0.6767257118481241+0.04212519116052984j)
0.24,(0.7739922378813785+0.29049952392854583j)
0.25,(0.5642276672619466-0.02407363818810621j)
0.26,(0.5729972163031811-0.1470047239956403j)
0.27,(0.5567614663148959+0.1708458981782029j)
0.28,(0.6173916551367123+0.05972799434620508j)
0.29,(0.9784347148539775-0.33406726939541787j)
0.3,(0.408710190585582+0.09945199390423524j)
0.31,(0.7333133701917903+0.16364304029377424j)
0.32,(0.6665443451199151-0.22368112973659948j)
0.33,(0.5462255986453386-0.03366588645407007j)
0.34,(0.6809893602836561+0.25141707628998977j)
0.35000000000000003,(0.6657950038191729-0.06940217334204579j)
0.36,(0.6287569038673945-0.1739655975516294j)
0.37,(0.6381347362471099+0.08616987191938928j)
0.38,(0.4748114258779271+0.04635298919418235j)
0.39,(0.7584706261020521-0.16615723364803214j)
0.4,(0.6751498147446141-0.006748713788862932j)
0.41000000000000003,(0.6237044625475531+0.168550289310745j)
0.42,(0.9284003147054743-0.08460143650286508j)
0.43,(0.452537635146454+0.0019798914532526556j)
0.44,(0.7850400170582563+0.1709609245472536j)
0.45,(0.5538115205685264+0.07519038270554332j)
0.46,(0.5811594496319518-0.16052808532742013j)
0.47000000000000003,(0.5313212356566637-0.06617146618064754j)
0.48,(0.6401555662363361-0.027785352425621187j)
0.49,(0.7295768432688373-0.11765517410148131j)
0.5,(0.6092487641113304-0.018074011771567727j)
0.51,(0.7260470260581102+0.11938810869858443j)
0.52,(0.878175000697247-0.16535125539544154j)
0.53,(0.4707350890094873-0.06221438097943822j)
0.54,(0.7040982131497439+0.22380799942894739j)
0.55,(0.751774191894365+0.009874554265652848j)
0.56,(0.4686575850696445-0.006221173704960455j)
0.5700000000000001,(0.6269887281342896+0.07404048320108952j)
0.58,(0.4651578501805663-0.10359154132455908j)
0.59,(0.5754410012138292-0.41070902446313023j)
0.6,(0.48095895870556893+0.06461908979120735j)
0.61,(0.7285303836133368+0.05408545788981789j)
0.62,(0.8582096051233871-0.23563388148799572j)
0.63,(0.6269069765310223+0.01242140711077987j)
0.64,(0.5725054746056638+0.15520362713528282j)
0.65,(0.6169181939146394-0.1025486295177454j)
0.66,(0.6487835252070439-0.009674335838868103j)
0.67,(0.4774318906441572+0.18093750887846913j)
0.68,(0.42021599821728145+0.014578696999216845j)
0.6900000000000001,(0.4812286109430505-0.1807658410522156j)
0.7000000000000001,(0.4565551588245491-0.04230434109747088j)
0.71,(0.4983847251157834+0.03818465399503337j)
0.72,(0.6664169950557113-0.20454459876043596j)
0.73,(0.5051836142566516-0.023707128361686276j)
0.74,(0.5436384512065245+0.13107231564162028j)
0.75,(0.4483019370709333+0.01436990815928537j)
0.76,(0.45804776205658837-0.05836345607361432j)
0.77,(0.5753497148640014+0.11481931068201896j)
0.78,(0.35752074000908024+0.04896592567780268j)
0.79,(0.5387423775187294-0.10904447150409755j)
0.8,(0.26769795764091875-0.0026939006006417485j)
0.81,(0.36776049569633035+0.02205219008576213j)
0.8200000000000001,(0.45277316877280743-0.09302848147786727j)
0.8300000000000001,(0.37397199478463766-0.04409480750790703j)
0.84,(0.5171448697741907+0.10177981016350181j)
0.85,(0.5042928375778273-0.04923005030670688j)
0.86,(0.32277382423800377-0.03589521586654927j)
0.87,(0.37580565438730124+0.07732185712844947j)
0.88,(0.3535351398638988+0.004244566667747205j)
0.89,(0.459230730221822-0.08109264298050915j)
0.9,(0.28438893751903527+0.042127782559814j)
0.91,(0.3031304592718538+0.03413492616319943j)
0.92,(0.6226020120302502-0.13202344750870726j)
0.93,(0.12218391327828569+0.0416800617070697j)
0.9400000000000001,(0.38314635804298+0.06095835103310981j)
0.9500000000000001,(0.34585088362384736-0.02818286238817752j)
0.96,(0.3067803049902528-0.022871684428905876j)
0.97,(0.23976326171735815+0.0659059223379547j)
0.98,(0.33698793142988437-0.027771961814965735j)
0.99,(0.2888557015701604-0.026318271134888205j)
1.0,(0.2602918321685516+0.00963826696930983j)
1.01,(0.2022176382448094+0.028722192326091175j)
1.02,(0.3551542719580757-0.10264349271184471j)
1.03,(0.19778517322590083+0.025173579199904754j)
1.04,(0.23678515880786047+0.0935666750872387j)
1.05,(0.2877533793116885+0.006408874165545801j)
1.06,(0.1848979310727837-0.02653808236175637j)
1.07,(0.20893686220450594+0.04116297001574612j)
1.08,(0.1598406929594306-0.0029425743640368435j)
1.09,(0.20843092322341966-0.06713903339689666j)
1.1,(0.1979912768611275+0.02486082892213778j)
1.11,(0.16838005981683482+0.0026868805964453723j)
1.12,(0.21490531694331844-0.0823341410926914j)
1.1300000000000001,(0.16839208485393165-0.013292010967338758j)
1.1400000000000001,(0.17528283446664306+0.0467413561734049j)
1.1500000000000001,(0.22068082059607352-0.005740416478010562j)
1.16,(0.1270734795024491+0.01732053979263046j)
1.17,(0.15314393842896845+0.04246440495475402j)
1.18,(0.1710790356148899+0.00029298255249922254j)
1.19,(0.10780799112506025-0.020736635716652012j)
1.2,(0.15253808748148412+0.0054849423012297924j)
1.21,(0.12333688388614651-0.006665467854094618j)
1.22,(0.18668095919452263-0.04520744068903941j)
1.23,(0.0967899373644165-0.0027722622188203435j)
1.24,(0.1363740670893834+0.004880330605634934j)
1.25,(0.23022207452267227-0.02603807597456731j)
1.26,(0.12954295861027476+0.007488029895328251j)
1.27,(0.12516736053993324+0.020669102461870318j)
1.28,(0.1244897148348688+0.010638421215906616j)
1.29,(0.13377783817776062-0.007915288566665313j)
1.3,(0.08740229416008731+0.006552871321459943j)
1.31,(0.12577454946548136-0.009269992199534454j)
1.32,(0.156379747334719-0.04467845643519863j)
1.33,(0.09208831546205354-0.017844044905416277j)
1.34,(0.1089312780251446+0.01018284576938818j)
1.35,(0.1416180209405595-0.039121015426431024j)
1.36,(0.10237448599473473-0.009703245719433361j)
1.37,(0.13645316126585927+0.023795023750505424j)
1.3800000000000001,(0.10704916967641834+0.0005673213271646481j)
1.3900000000000001,(0.11756808151041107-0.027623314274298028j)
1.4000000000000001,(0.11071458488630989+0.02637134521719129j)
1.41,(0.0750962415803952+0.001615143086648449j)
1.42,(0.13235504709521148-0.04950290802693063j)
1.43,(0.07565480340913568+0.006790451300921671j)
1.44,(0.08975111077407778+0.01484321761083991j)
1.45,(0.0618335183471872-0.020675837226286218j)
1.46,(0.0896655442893384-0.00814995066652808j)
1.47,(0.07938249099973284+0.01655320402466984j)
1.48,(0.0917438445715016-0.015005437499441644j)
1.49,(0.0665497099417357-0.007242848262042067j)
1.5,(0.07697236767235816+0.009497887799416453j)
1.51,(0.057455620498841814+0.006646421124201951j)
1.52,(0.0938706895270435-0.02005293001782151j)
1.53,(0.05390039208805356+0.002374365056191074j)
1.54,(0.056453595183482475+0.0018840434517212285j)
1.55,(0.09059458310641953-0.004738124818544262j)
1.56,(0.03165901505529812-0.0001706232423940905j)
1.57,(0.04566462517349146+0.008976418488748172j)
1.58,(0.06395194901834327-8.976826302881604e-05j)
1.59,(0.04431429939895639-0.006016329366228161j)
1.6,(0.043254197307831053-0.004547038713697696j)
1.61,(0.048172010852371126-0.001568436249598243j)
1.62,(0.05662526419233832-0.007004347526651803j)
1.6300000000000001,(0.04002388852327595-0.0006382477614938478j)
1.6400000000000001,(0.03488190232384618+0.0034133365500426676j)
1.6500000000000001,(0.08690446441891998-0.005566166050350397j)
1.6600000000000001,(0.025672737218659467+0.0009409636776579827j)
1.67,(0.03217887781601181+0.007846075808975887j)
1.68,(0.053285872159577564+0.0028582208626550232j)
1.69,(0.03442449081291832+0.0011635579418626883j)
1.7,(0.04120175330398996+0.007269092815838372j)
1.71,(0.031849979534632956-0.0025156647127971637j)
1.72,(0.04722055836079337-0.016992219937406895j)
1.73,(0.04254360880007399+0.0045780549003626965j)
1.74,(0.040351770825924345+0.0004340243061617326j)
1.75,(0.07902414424831325-0.015566458138518034j)
1.76,(0.0341695850719631+0.005702859616662155j)
1.77,(0.04142582588027265+0.014637972705180363j)
1.78,(0.04507252824304843-0.001452163320610326j)
1.79,(0.033451697110926715+0.00020173614145539562j)
1.8,(0.04578286100685824+0.00966558015568094j)
1.81,(0.0473953853305096+0.0017318439000892825j)
1.82,(0.03681177311153391-0.00801337716283744j)
1.83,(0.037383801401038724-0.001940406911561941j)
1.84,(0.03632310209373974+0.0019256375480967132j)
1.85,(0.06217623009452063-0.020425313452811553j)
1.86,(0.04093271375356257-0.004846396522654912j)
1.87,(0.04205048825653624+0.00573881547478619j)
1.8800000000000001,(0.04402374811628494+0.010129871366581566j)
1.8900000000000001,(0.031050942535949255-0.0015927573405997216j)
1.9000000000000001,(0.03348867296003522+0.0049055441602108485j)
1.9100000000000001,(0.03391335345152327+0.0012554833718201085j)
1.92,(0.0423125957129046-0.0032996557337758563j)
1.93,(0.020943823674310084-0.0007123657680506134j)
1.94,(0.02895849752110035+0.002893197498083161j)
1.95,(0.034333180263383785-0.004700620822207003j)
1.96,(0.024001253776625195-0.0028466008136232507j)
1.97,(0.022348438718313247-0.001104408609456838j)
