time_space,trajectory
0.0,(1.0000000000000835+7.017069884560943e-30j)
0.01,(0.6076461253246926+0.8971813775459975j)
0.02,(1.1137298282140458-0.47713063665223315j)
0.03,(0.17678428516275616-0.11794105091575978j)
0.04,(-1.0049351084475215+0.5580352449687999j)
0.05,(0.25075933306001297-0.004327891026374886j)
0.06,(-0.5254206742544364-0.46647407282083825j)
0.07,(0.21871410621637064+0.14584302735825563j)
0.08,(0.4318384724663806+0.09382249139805167j)
0.09,(-0.258137692902518-4.329364336826102j)
0.1,(0.3307756008793667-0.0015998485620560472j)
0.11,(0.23903677436669307+3.2663218098018034j)
0.12,(0.9279258985087822-1.4318010129716576j)
0.13,(0.1595278030287739-0.05547897799721396j)
0.14,(-0.4798849965434986+0.6594538202262374j)
0.15,(0.5780007393390345+0.03757689051635476j)
0.16,(0.03461523456457974-0.799874484302368j)
0.17,(0.23662903718616193+0.17881844483582504j)
0.18,(0.2114950397814021-0.0068780093225635506j)
0.19,(-1.0793243002480568-4.982435218073525j)
0.2,(0.3128616806805862+0.014265216250308788j)
0.21,(-0.13054370754244835+1.8179822282511802j)
0.22,(0.4923656367655326-1.8936363348718233j)
0.23,(0.05499081553346012-0.04597456845244435j)
0.24,(-1.6291542282549658+2.881655073758096j)
0.25,(0.11858671696256687+0.0031219001961297252j)
0.26,(0.15839849397503106-0.9564213209186831j)
0.27,(0.32577722622688043+0.17359051183285812j)
0.28,(0.2702128544828769+0.002689621955598703j)
0.29,(-0.8015622367788543-3.2846469069061652j)
0.3,(0.22953340902838892-0.004417204610557078j)
0.31,(-0.23687310040379256+1.5582265837251033j)
0.32,(0.5583343980333824-2.238040924749981j)
0.33,(0.18781642059635692-0.01845406815337533j)
0.34,(-0.6172827390453955+0.9691105682803877j)
0.35000000000000003,(0.22733692206182426+0.0007999025259140736j)
0.36,(0.13736362812869476-0.4916356820775274j)
0.37,(0.35721533501500796+0.2708735659173475j)
0.38,(0.17309242669905195+0.026708882968231762j)
0.39,(-2.6696349173990246-4.4307353066037045j)
0.4,(0.13888216035649528-0.012056352795451345j)
0.41000000000000003,(0.10832851248938037+2.125227351613855j)
0.42,(2.2198115742469366-4.477630173390171j)
0.43,(0.08667612613240173-0.024630180382141455j)
0.44,(-0.8261100658925636+1.4189083603252162j)
0.45,(0.18825904093867318+0.0010976394876476686j)
0.46,(0.3551187592467546-0.4437518051615844j)
0.47000000000000003,(0.2632350490389535+0.56443159381202j)
0.48,(0.08473819171892873-0.0028815037151181206j)
0.49,(-3.005645877427676-3.52155775658333j)
0.5,(0.13399481576984087+0.013129546646842662j)
0.51,(0.20215725969338658+0.8022199849554478j)
0.52,(-0.46110769260805956-5.231824819071926j)
0.53,(0.09171581439270454-0.005488949017467851j)
0.54,(-0.950219673859859+1.8032385301657468j)
0.55,(0.2359345074556707+0.017834981282788105j)
0.56,(0.31394682984166433-0.09233187142846719j)
0.5700000000000001,(0.34673388055169735+0.36587853349625377j)
0.58,(0.11865962384549662-0.006881806623035011j)
0.59,(-1.670831864707251-2.676941479785492j)
0.6,(0.12479492969624167+0.039883332707593644j)
0.61,(0.3596563561493137+0.5815691277958113j)
0.62,(-1.6098868491018752-9.54887661922698j)
0.63,(0.0854257748531002-0.009570321310240671j)
0.64,(-0.7424638690551585+1.1761335461656892j)
0.65,(0.4754067684414691-0.033775866315906004j)
0.66,(0.40925256056657816-0.1786972553961682j)
0.67,(0.23926118810790778+0.5120222632341305j)
0.68,(0.06990223737614357-0.007619421712713615j)
0.6900000000000001,(-0.2223093194721015-2.926138884146746j)
0.7000000000000001,(0.09529254500407819+0.04705047031356003j)
0.71,(0.2646509531810135+0.28248453589416334j)
0.72,(-0.7322583277062575-4.178557307914892j)
0.73,(0.04583429215838422-0.011901673779056404j)
0.74,(-0.2045021149587475+0.5362384404700496j)
0.75,(0.24248464721988844-0.015556206924303694j)
0.76,(0.09865897300657671-0.030664508639558545j)
0.77,(0.14414896877976857+0.19799466055407391j)
0.78,(0.07811671619230932+0.010406028423034485j)
0.79,(-0.3740799989598454-0.43130862335686043j)
0.8,(0.08228194906796103+0.013407454258780727j)
0.81,(0.08856938884950365+0.06156752733202301j)
0.8200000000000001,(-0.8988949245654422-1.933147792912483j)
0.8300000000000001,(0.06037336731995509+0.0012370062830522107j)
0.84,(-0.09006796752061169+0.2200289642230264j)
0.85,(0.25044907316628634+0.009710845210296937j)
0.86,(0.06906706557127654-0.03532290819980307j)
0.87,(-0.015909251835275265+0.05168700193044072j)
0.88,(0.06291629492128054+0.0027530994438363147j)
0.89,(-0.12023758905782414-0.26642167824359286j)
0.9,(0.05801283034318263+0.018686383376901563j)
0.91,(0.05750310656946269+0.001956509528368906j)
0.92,(0.15012358700546738-0.6851567091518079j)
0.93,(0.027199931260147202-0.0030216370795106665j)
0.9400000000000001,(-0.03450815273795223+0.17310478028582546j)
0.9500000000000001,(0.23361181334640144-0.08062038571888835j)
0.96,(0.02058305408685579-0.012197135399661824j)
0.97,(-0.03131895646891189+0.036804406331200946j)
0.98,(0.04164057299098126+0.006851682399783106j)
0.99,(0.04432975005353497-0.1836193424283359j)
1.0,(0.05331026274102815+0.008766405180584967j)
1.01,(0.017531454030999788-0.004487254082363726j)
1.02,(-0.5650384421319631-1.6457500535002698j)
1.03,(0.03061688832361945-0.0002845149881215516j)
1.04,(0.02248991749171215+0.10801005521687249j)
1.05,(0.6200097752614787-0.21844577561373957j)
1.06,(0.018695516639012873-0.002514368618780581j)
1.07,(-0.04667074643749213+0.12107569668809137j)
1.08,(0.036862343622274925+0.006985829916086665j)
1.09,(0.13903860888321076-0.2308377482241723j)
1.1,(0.07998321264145483+0.021368957711387537j)
1.11,(0.0222000572697103-0.0023611253902471514j)
1.12,(-0.18324193112975098-1.8488318413393774j)
1.1300000000000001,(0.011919092789788595-0.001942473142577018j)
1.1400000000000001,(0.05883442768673839+0.1569464907006115j)
1.1500000000000001,(0.7606511134240809-0.1875118125277408j)
1.16,(0.021324034371702667-0.005186861326912063j)
1.17,(-0.019480388953832087+0.03873467760836448j)
1.18,(0.08717215608471271+0.007797403705580165j)
1.19,(0.06458146249372182-0.08944627366279122j)
1.2,(0.05344972783298794+0.029519495233939583j)
1.21,(0.031147878008109947+0.012951358571670733j)
1.22,(-0.3565012998592975-1.110297889494235j)
1.23,(0.031965094290575265-0.0030492892840382896j)
1.24,(0.026472742963293897+0.05103295682336784j)
1.25,(0.7427572875901102-0.49437061562975587j)
1.26,(0.018531599749542035+0.0008613029927132409j)
1.27,(-0.04046507187880335+0.11995006425920071j)
1.28,(0.022981529995087555+0.002418295900492243j)
1.29,(0.03572663988582598-0.05355362682480178j)
1.3,(0.04524317052947404+0.017865013763664925j)
1.31,(0.01279876983571673-0.0011800122489702626j)
1.32,(-0.5875997937830494-0.6586473157585698j)
1.33,(0.013452738621625866-0.0026154776832052642j)
1.34,(0.016493320775444485+0.017585222350190114j)
1.35,(0.23794517676234694-0.2618634176149887j)
1.36,(0.0034513873798847814-0.0007961255690032252j)
1.37,(-0.004208247926482817+0.01294552179467931j)
1.3800000000000001,(0.012089801225232587+0.0029953502382073474j)
1.3900000000000001,(0.006617935140090459-0.005392808506609442j)
1.4000000000000001,(0.0057546900570421685+0.003433301034685158j)
1.41,(0.0005567226245607724-0.0001753442952484816j)
1.42,(-0.03916423219126428-0.1348609970399141j)
1.43,(0.0013386094670118302+0.0001637678081649902j)
1.44,(0.00147195041235811+0.0012153373145501506j)
1.45,(0.08253229531584061-0.14371999880215328j)
1.46,(0.00039045187319379125-8.455920408740094e-05j)
1.47,(0.00033758051611642686+0.003081368535386936j)
1.48,(0.00326992679652399+0.001058023923354257j)
1.49,(0.0016109101117588447-0.0004231207412973584j)
1.5,(0.002310105996888146+0.0013607435295766679j)
1.51,(0.0013368926685764955-0.00019658104868174096j)
1.52,(0.0003322930836010047-0.025808434986852785j)
1.53,(0.0017127022247744653-0.0012747807119002736j)
1.54,(0.004593772738104001+0.004098505819495654j)
1.55,(0.16224957506334575-0.2952502929530898j)
1.56,(0.0008841971930133108-0.0004930340197300991j)
1.57,(0.002420770383807957+0.006233239637570331j)
1.58,(0.014099104539424295-0.0026716512924976907j)
1.59,(0.005023322890883129-0.0006501687239243633j)
1.6,(0.006882869066167883+0.004956398865332642j)
1.61,(0.0011256488377731709-0.00021259987606952083j)
1.62,(0.003282867689958229-0.07049368218183244j)
1.6300000000000001,(0.002305162962567496-0.0010597809797080067j)
1.6400000000000001,(0.003047982586120059+0.004706009899236698j)
1.6500000000000001,(0.1648427567169271-0.3155917556159358j)
1.6600000000000001,(0.0031637164248759053-0.0005237990329789355j)
1.67,(0.005009624308088752+0.009678373745738078j)
1.68,(0.029770576024474395+0.00993385341473204j)
1.69,(0.006622299209673222-0.001939806340558086j)
1.7,(0.013017840807842344+0.008031096623079048j)
1.71,(0.004674226315388804-0.00043830341893954806j)
1.72,(0.009348119391723244-0.0997956942622287j)
1.73,(0.004474806368479084+0.0009523679397887117j)
1.74,(0.00503160351735498+0.003171667651360958j)
1.75,(0.3060369575546024-1.1729822528118314j)
1.76,(0.0053049919530335065+0.0006262125638625967j)
1.77,(0.00206819493887966+0.010711534327308878j)
1.78,(0.04453333925060711+0.011598129227604505j)
1.79,(0.003555250676952106-0.0005377831210512338j)
