time_space,trajectory
0.0,(0.9999999999998298-4.407287818760229e-31j)
0.01,(0.9547292041712931+0.9693604922167286j)
0.02,(0.9381229091437862-0.532263387117527j)
0.03,(0.41413082340180346-0.11728671336759458j)
0.04,(-0.14335048595244257+0.5943127619463203j)
0.05,(0.38083916853533356+0.00028640037365840497j)
0.06,(0.2485650351730383-0.9775695388341621j)
0.07,(0.2900482418235503+0.22223599808735134j)
0.08,(0.8806799363574074+0.44454851365203707j)
0.09,(-0.03087705862542986-4.416098050106539j)
0.1,(0.3539025682423164+0.01061833997103279j)
0.11,(0.6157262248207005+1.608387555902313j)
0.12,(0.9632329904031945-0.4515391115941011j)
0.13,(0.27492890139417314-0.06677101481716985j)
0.14,(0.43413515655194873+0.7065712829453552j)
0.15,(0.6164228336906393-0.04777495831080439j)
0.16,(0.7582124232603311-0.8702220140840105j)
0.17,(0.625772691621083+0.25033814071835436j)
0.18,(0.563972676662779+0.18534754082622584j)
0.19,(-0.835524740869739-3.7848395834205073j)
0.2,(0.32955757249758144+0.0032961467998068104j)
0.21,(-0.45375333012773694+2.115884910691134j)
0.22,(1.8911652203633345-1.757472707175642j)
0.23,(0.17901468523411004-0.061251389510078j)
0.24,(-0.41069021600332656+1.5144748951914064j)
0.25,(0.3770957924681153-0.036793090031782986j)
0.26,(0.8208156487020797-0.9030850895205841j)
0.27,(0.37954780158425067+0.2862846131094639j)
0.28,(0.4147636018204516+0.068448304140783j)
0.29,(1.2790389295969373-2.3448956966458554j)
0.3,(0.2078992663945997+0.014277278096785397j)
0.31,(0.6706321560402794+1.0493376024861452j)
0.32,(1.2144653037425872-1.4285339439282914j)
0.33,(0.16349768839090834-0.046765465462816284j)
0.34,(-0.3419987266782888+1.6414424120784774j)
0.35000000000000003,(0.3924001488078132+0.024702694452664823j)
0.36,(0.4367421676914908-0.426601440829668j)
0.37,(0.2954873920242531+0.321304604717929j)
0.38,(0.5386100908343037+0.13640498134634874j)
0.39,(-0.6047803556962305-1.7564773919969143j)
0.4,(0.35654173495194175-0.020320950165179392j)
0.41000000000000003,(0.7455224095133831+0.8219302869874614j)
0.42,(1.1122229173101663-1.064956162844466j)
0.43,(0.3287227748071824-0.02106814670139816j)
0.44,(0.7326377865531715+1.4273425381343694j)
0.45,(0.34456748826892647+0.030588838253451326j)
0.46,(0.6576154687543266-0.2306479188883753j)
0.47000000000000003,(0.24773350199598002+0.3302957131742402j)
0.48,(0.23597079785824626+0.008869336672048235j)
0.49,(-0.4278939875335171-2.198489612704068j)
0.5,(0.18780940738660323+0.007245691989833835j)
0.51,(0.37837624460980884+0.737760087932688j)
0.52,(1.1053655857488096-1.5057619968288156j)
0.53,(0.3393719838416292-0.04267456737883598j)
0.54,(0.38183176494847587+0.783998590292842j)
0.55,(0.36049902814366336+0.04515956452281546j)
0.56,(0.33196672145261386-0.2610637131069503j)
0.5700000000000001,(0.19366467618675082+0.14596035473068716j)
0.58,(0.3385033735855163-0.01706338786460038j)
0.59,(0.22325678085963385-1.5523028355274402j)
0.6,(0.3250766705001507+0.018776790599085675j)
0.61,(0.3046277480169066+0.37643020321024256j)
0.62,(0.6246154964014634-2.9039155288023264j)
0.63,(0.2272462081809599+0.006008052696750971j)
0.64,(-0.20497864929840548+1.1382345180162061j)
0.65,(0.2200842000603308+0.046819505014433736j)
0.66,(0.3086050702876055-0.13246721192396937j)
0.67,(0.054800845505083275+0.29850246568906585j)
0.68,(0.2402633235367519+0.017350457591323733j)
0.6900000000000001,(0.1713870973841354-1.8157040627513317j)
0.7000000000000001,(0.2823613509359695+0.059758984985814674j)
0.71,(0.3440972015195914+0.057203019436036465j)
