time_space,trajectory
0.0,(0.9999999999992162+2.748002641000779e-29j)
0.01,(0.657035573923878+0.523594934492162j)
0.02,(1.6389381819279032-0.41449140684889263j)
0.03,(0.30780217675886024-0.10599717598214872j)
0.04,(-0.4383916828443403-0.03764287018910159j)
0.05,(0.4780106620133452-0.009062553379777865j)
0.06,(-0.5788009136818338-0.021995147726264284j)
0.07,(0.15571103231390182+0.15061337363203683j)
0.08,(0.8601724070117708+0.4476790685120038j)
0.09,(9.76027494550487+13.156175849991326j)
0.1,(0.06345665981977222-0.0012684351830527733j)
0.11,(7.193452779907441-13.275458081516085j)
0.12,(-2.187590509335432-5.810150960216492j)
0.13,(0.0373064228248955-0.03828468196405856j)
0.14,(0.8629585046471485-1.0759339288052774j)
0.15,(0.06741414429646887-0.005279976438343932j)
0.16,(-1.2069772710465239+0.5821116636196808j)
0.17,(0.022701915177320568+0.17492343726761003j)
0.18,(0.29164688168760844+0.2214433048219188j)
0.19,(18.987526674287185+12.2455983697323j)
0.2,(0.05078754325803053-0.00036804625207131767j)
0.21,(-2.3618965409234374-14.131817434287106j)
0.22,(1.0045792014931334-7.905974021388736j)
0.23,(0.08738804240322894+0.000965733204691909j)
0.24,(0.7282956782089551-2.5466884988345733j)
0.25,(0.08687001252039878+0.01204761801400596j)
0.26,(-0.476762689174599+0.34771576011041744j)
0.27,(-0.02980870439821373+0.06829024093015215j)
0.28,(0.15102529829755246+0.025421081782680405j)
0.29,(57.77778627725558+2.1851858479178095j)
0.3,(0.026459317068897197+0.0014516168407007995j)
0.31,(-6.927660511259768-4.616619048275954j)
0.32,(-7.49431382975129-15.47282713476811j)
0.33,(0.044588692686377+0.013949465854391734j)
0.34,(3.312261848137219-3.8060993396436826j)
0.35000000000000003,(0.02723794760046929-0.00026751419600383296j)
0.36,(-0.4832695327314718+0.10766959658377034j)
0.37,(-0.06747126715813494+0.06285487674979147j)
0.38,(0.027054884245136496-0.01036655650536254j)
0.39,(107.30390555273208+1.7060088997516187j)
0.4,(0.014956975204349994-0.0019462822824195826j)
0.41000000000000003,(-6.537546582978436-1.4081297404270916j)
0.42,(-79.53836207481153-11.231064826255457j)
0.43,(0.005211034514521642-0.0037256563827379767j)
0.44,(8.74293848656029-0.8489081403471848j)
0.45,(0.08158034421945481-0.013172725130086592j)
0.46,(-0.5515548965313796+0.13075096204180942j)
0.47000000000000003,(-0.2862961307025499-0.02124689188035183j)
0.48,(0.011107053713142346-0.0006365167588097774j)
0.49,(74.53242299599577+53.976624618958326j)
0.5,(0.018295840913306674+0.007138329568555468j)
0.51,(-0.8783154064764339+1.1653744662792178j)
0.52,(-94.39712657088253-1.2457014037046432j)
0.53,(0.010782576249155719-0.0010498067731193365j)
0.54,(3.497271214976202-6.956230890116818j)
0.55,(0.07598850994045117-0.0004133232598664127j)
0.56,(-0.004879554110305922-0.2237010595901036j)
0.5700000000000001,(-0.4096940688230041+0.427403413331549j)
0.58,(0.005943809033452285-0.0028367021375229895j)
0.59,(44.773312484184935+24.91255356449809j)
0.6,(0.020546817529113966+0.013092287112793905j)
0.61,(-0.4320203804325096+0.4294538722827299j)
0.62,(-117.44607942375117+196.34698319467134j)
0.63,(0.01553829563606134+0.001875381729186371j)
0.64,(-0.4201150093056398-6.533151969803457j)
0.65,(0.17388821212878697-0.03763311092715664j)
0.66,(0.0015180031624609576-0.13030541811458152j)
0.67,(-0.7164423334253186+0.22517248168086568j)
0.68,(0.0016041692534192603-0.0010620979471333278j)
0.6900000000000001,(41.12299361346512+44.10151589534478j)
0.7000000000000001,(0.022466460169198267+0.015225724061870113j)
0.71,(0.04972307197806604+0.15365291692249705j)
0.72,(-176.68232877217127+560.0351659887572j)
0.73,(0.010766379211078278+0.003130142715376414j)
0.74,(-0.43386956510275115-4.836423207363356j)
0.75,(0.6727951174391059-0.37253445354880566j)
0.76,(-0.01705335716948662-0.044934091745186214j)
0.77,(-0.18174532440913185-0.1590935708415749j)
0.78,(0.008887636036456831-0.002732986768207533j)
0.79,(7.533128419428994+5.340979564310573j)
0.8,(0.040359745010534014+0.018698752202346847j)
0.81,(0.08373639894194336+0.15021798802476227j)
