"t,L_avg"
0.0,0.9999999999664682
0.02,0.9874129319192132
0.04,0.9881556968376012
0.06,0.9926069432405552
0.08,0.9846419922433393
0.1,0.9894557292174294
0.12,0.9873194253912478
0.14,0.9865967551998637
0.16,0.9867560525112051
0.18,0.9703780152336404
0.2,0.981795068724549
0.22,0.9561244299253753
0.24,0.9687647466255422
0.26,0.9289798630800562
0.28,0.924429403142146
0.3,0.9490007835980995
0.32,0.913240399888884
0.34,0.8661335986141722
0.36,0.9545173793773253
0.38,0.9076656764090266
0.4,0.9268899594360689
0.42,0.8066252816977492
0.44,0.799965433077107
0.46,0.8797186183271126
0.48,0.8784074045040997
0.5,0.7500597823625701
0.52,0.8220414857822104
0.54,0.8003585586235947
0.56,0.7806809664048783
0.58,0.8011614751112075
0.6,0.7979320128692311
0.62,0.6644824671129282
0.64,0.6620056570154834
0.66,0.603640986496057
0.68,0.7086466521465458
0.7000000000000001,0.6792538800980344
0.72,0.655253280589076
0.74,0.5729100923576487
0.76,0.608780419796472
0.78,0.5792552627753039
0.8,0.5503776753844616
0.8200000000000001,0.5269487508832257
0.84,0.5082583895788059
0.86,0.4920570270747075
0.88,0.4748668561630189
0.9,0.449693045159324
0.92,0.42311624110053
0.9400000000000001,0.4017994404394314
0.96,0.3851836726434846
0.98,0.36594030687370027
1.0,0.35012500994634127
1.02,0.3280997075986539
1.04,0.2985494070056043
1.06,0.2799702232711997
1.08,0.26154480020062876
1.1,0.2446828574147336
1.12,0.23460883797696339
1.1400000000000001,0.22111894756875897
1.16,0.2069378522886215
1.18,0.19264500066986884
1.2,0.1813278790677854
1.22,0.1729573824568774
1.24,0.1641647361376823
1.26,0.15651883085549534
1.28,0.1366489827455892
1.3,0.13339641211066133
1.32,0.12368279068680187
1.34,0.1299252577544953
1.36,0.10551466980503425
1.3800000000000001,0.09821838544317125
1.4000000000000001,0.10155558303093078
1.42,0.0973975539582373
1.44,0.07947775404861769
1.46,0.0664825115569366
1.48,0.06439145119161598
1.5,0.06782798496736975
1.52,0.058406150502318975
1.54,0.054068139998257825
1.56,0.048976056536348345
1.58,0.04471642918888524
1.6,0.042088961781973404
1.62,0.03966351133663218
1.6400000000000001,0.036099819864312
1.6600000000000001,0.031626662589518
1.68,0.024749436457999915
1.7,0.02143739468432942
1.72,0.018966245492643516
1.74,0.018916099507967094
1.76,0.017934885176866387
1.78,0.015785497147091366
1.8,0.014008612215106119
1.82,0.012408624902184475
1.84,0.011340980989570388
1.86,0.010701178429366989
1.8800000000000001,0.010000823737875421
1.9000000000000001,0.008619289607080395
1.92,0.007603014118687626
1.94,0.00681032104284033
1.96,0.006289533742894749
1.98,0.005405765064763435
2.0,0.004686925191768901
2.02,0.003857983609650821
2.04,0.003379276104916741
2.06,0.002950350920612379
2.08,0.0020087940768054066
2.1,0.001886651464345179
2.12,0.0013089620280536912
2.14,0.0011696493289105698
2.16,0.0009923391560255153
2.18,0.0007913917157965433
2.2,0.0006266239075350386
2.22,0.000532459507583864
2.24,0.0004598986850687018
2.2600000000000002,0.0003803651096973114
2.2800000000000002,0.0002980669885942023
2.3000000000000003,0.00021133997910461507
2.32,0.00015182200019611013
2.34,0.00011231132260873385
2.36,8.991860622358685e-05
2.38,8.182064468273067e-05
2.4,5.655116124005236e-05
2.42,4.527686314252536e-05
2.44,4.8516388232629876e-05
2.46,2.450929130575107e-05
2.48,4.735511392039291e-05
2.5,1.8084028302852532e-05
2.52,1.4640741268818172e-05
2.54,2.7516966396097456e-05
2.56,7.711377386551243e-06
2.58,1.3247849968250455e-05
2.6,1.4849627429589754e-05
2.62,4.243629178817792e-06
2.64,8.65855200684623e-06
2.66,5.292518947361184e-06
