1.000000000091252783e+00,1.000000000090971009e+00,1.000000000254129828e+00,1.000000000249481991e+00,1.000000000159128488e+00,1.000000000161502367e+00,1.000000000285144353e+00,1.000000000069152684e+00,1.000000000069677375e+00,1.000000000046600501e+00
9.960919014263988069e-01,9.992503868954472068e-01,9.961572176658476385e-01,9.979037864122387580e-01,9.458290479487633240e-01,9.994925326305783564e-01,9.933045461440604962e-01,9.982747172947009640e-01,9.951750530292903241e-01,9.989421031763403569e-01
9.655586789813963566e-01,9.938980337387417485e-01,9.965267340206299673e-01,9.833995457655420047e-01,nan,9.957961749324902856e-01,9.451104500505465023e-01,9.890792743026128875e-01,9.836136905077704773e-01,9.955166535201395162e-01
9.298168265569075608e-01,9.879063988260323725e-01,9.872636296693884095e-01,9.632636078762982779e-01,nan,9.930868354596044112e-01,9.075035452790122248e-01,9.873329774025869643e-01,9.540610347096383226e-01,9.972645628358539627e-01
9.388250588957344211e-01,9.890273376820618578e-01,9.970041224113850298e-01,9.675923846230508607e-01,9.416041115481628143e-01,9.951242657471032205e-01,9.362663785628262403e-01,9.904489457380344364e-01,9.678052022836294288e-01,9.970173680790294091e-01
9.837559175333634442e-01,9.954461478991051271e-01,9.978615096730474310e-01,9.918815350064850156e-01,9.736931944864443134e-01,9.964436850846362104e-01,9.714388714943146264e-01,9.910190255066386733e-01,9.908510393964925500e-01,9.990533113149379085e-01
9.983314418855272487e-01,9.961702080577612417e-01,9.995023204050765830e-01,9.990475320347032007e-01,9.939679967691602558e-01,9.943452446268770117e-01,9.613017840465176711e-01,9.856982010838748476e-01,9.991531318543532825e-01,9.997787081963330769e-01
9.844042298714746897e-01,9.899139252964691549e-01,9.963949592086727147e-01,9.911171105066169940e-01,8.384820277512113895e-01,9.881287538437639739e-01,9.511511761483341099e-01,9.734325997556537713e-01,9.900583078080943400e-01,9.984372246361418179e-01
9.853897934585384988e-01,9.846277040135869019e-01,9.892981707951513659e-01,9.902496071673141387e-01,8.687641436882109769e-01,9.798652741208324635e-01,9.740630930561878786e-01,9.553073737104711416e-01,9.867265009983023916e-01,9.961395249778342009e-01
9.925133609127693157e-01,9.833802046118627072e-01,9.933281378321497934e-01,9.925372302359126708e-01,9.476444033843065551e-01,9.716363847855225000e-01,9.511344073264957899e-01,9.349286998769161805e-01,9.945321839162398758e-01,9.969384949734736434e-01
